"Year","Stock","Counts","Mean","Lower95%","Median50%","Upper95%"
2019,"Canada","Escapement",42192.501519934,40619.9671810108,42252.5197758761,43497.1913676093
2020,"Canada","Escapement",30646.0397461304,29233.6581270057,30720.8447287578,31736.5761413371
2021,"Canada","Escapement",31509.2325194583,31085.6088595577,31508.3110310925,31909.4849164887
2022,"Canada","Escapement",12009.1933136747,11787.3683190085,12010.0419698709,12236.2598104739
2023,"Canada","Escapement",14576.1960267705,14311.9399698061,14578.8139546919,14834.8035249409
2024,"Canada","Escapement",24184.3363282913,23816.8168062241,24185.8946784428,24572.6780671938
1981,"Middle","Escapement",20737.254074094,8428.87215101272,19254.0402459246,41510.8881500634
1982,"Middle","Escapement",49062.8778628859,22644.6414167616,45240.3025752711,99953.1648749099
1983,"Middle","Escapement",52453.5145095805,22874.7027372647,48778.4212111602,106904.899105244
1984,"Middle","Escapement",16939.9643350281,7953.83239337293,15876.6851725593,31504.2638578418
1985,"Middle","Escapement",50551.4582231962,20404.092979079,46766.9439269706,98017.6963236004
1986,"Middle","Escapement",66468.8441842848,34160.2643056444,63966.5378866379,113216.122140503
1987,"Middle","Escapement",37616.7073620857,22231.414689637,36319.8672469649,59915.1045595213
1988,"Middle","Escapement",36410.8576633891,20462.6162243954,35216.7430879185,58657.3125518314
1989,"Middle","Escapement",26531.9640002986,15288.4808188254,25617.3467795116,43119.0268693663
1990,"Middle","Escapement",53738.4485950128,30349.1770890587,52004.6401281119,88279.7266857587
1991,"Middle","Escapement",27579.9973699134,15847.9629515281,26407.7601854452,45735.0268433094
1992,"Middle","Escapement",33735.5298549483,19775.5275658976,32874.6362330255,54416.1356903909
1993,"Middle","Escapement",70144.8476646132,40896.1333705447,68103.9127325186,107541.23781072
1994,"Middle","Escapement",92164.8288055674,54329.94536903,90348.4741114767,139912.228199635
1995,"Middle","Escapement",100257.204504227,57230.8250614273,97259.7541664292,159614.660963268
1996,"Middle","Escapement",54094.5214988084,29189.8510106405,51542.7121482937,93691.9156398317
1997,"Middle","Escapement",99400.9908369061,57698.6532022183,96784.6443802143,158205.914009851
1998,"Middle","Escapement",31122.2486612015,15107.1461722685,29167.6404499115,56709.8657460232
1999,"Middle","Escapement",57865.9873152548,32929.5220588229,56254.5166873801,93927.6674403354
2000,"Middle","Escapement",17663.09342087,9980.63634574458,16962.5655986857,29540.798538296
2001,"Middle","Escapement",59606.3626438498,37072.1338720753,57731.5195552886,92690.0294487093
2002,"Middle","Escapement",32107.3190082941,22600.6327957001,31781.4745262428,43691.2941921719
2003,"Middle","Escapement",57513.4930851612,40672.1461841277,57777.8395632285,75603.6577368253
2004,"Middle","Escapement",47937.7956087514,31383.6814459066,47410.0046531479,67858.378474361
2005,"Middle","Escapement",48527.0206042501,34905.5497629105,47973.0613703703,65354.7454827132
2006,"Middle","Escapement",33162.0704669447,21902.2712449348,32849.0544543419,47048.1325002591
2007,"Middle","Escapement",28110.8288500491,19205.3330342817,27773.8990013579,38873.530447977
2008,"Middle","Escapement",24784.302833742,16956.034909166,24503.3617114258,33485.7619047596
2009,"Middle","Escapement",50703.1500816797,37331.0901712917,50484.5750163911,65173.7597502831
2010,"Middle","Escapement",26283.2494380193,17065.4256507931,25990.240962662,36744.1680078435
2011,"Middle","Escapement",33858.4851987639,24633.270980368,33729.4545065233,43494.6676249786
2012,"Middle","Escapement",24581.5081196796,17842.8719881648,24253.4240118189,32997.1448193304
2013,"Middle","Escapement",16775.6345010553,11876.201160637,16660.619686476,22646.6203431078
2014,"Middle","Escapement",44121.888535318,33956.8255512941,43937.4756920089,55485.9776409323
2015,"Middle","Escapement",48461.6694974437,36438.9869422418,48370.9777768135,61331.5501312242
2016,"Middle","Escapement",44284.6528286861,33586.1952223733,43950.8241593827,56119.7097717633
