"BroodYear","S_lwr","S_med","S_upr","R_lwr","R_med","R_upr","CU","CU_f"
1995,5395.56,6473.21,7814.55,5633.52,6822.74,8249.3,"Stewart","Stewart"
1996,2456.68,3132.88,4008.4,4190.98,5053.04,6062.11,"Stewart","Stewart"
1997,6620.88,7440.28,8379.22,3275.59,3944.98,4703.15,"Stewart","Stewart"
1998,11659.17,12695.61,13840.13,4278.9,5001.81,5850.94,"Stewart","Stewart"
1999,1713.98,2162.83,2728.75,3634.61,4432.76,5349.02,"Stewart","Stewart"
2000,2099.71,2720.28,3565.17,4135.56,4983.37,5989.93,"Stewart","Stewart"
2001,3141.65,4337.58,5979.04,15178.3,17276.06,19566.2,"Stewart","Stewart"
2002,2102.64,2599.62,3222.87,7538.91,9014.88,10704.27,"Stewart","Stewart"
2003,1292.5,1728.74,2302.08,6937.76,7854.79,8892.15,"Stewart","Stewart"
2004,1769.34,2252.96,2859.38,3995.03,4674.08,5432.18,"Stewart","Stewart"
2005,2114.54,2870.68,3863.01,7431.5,8421.18,9509.07,"Stewart","Stewart"
2006,2460.37,3297.43,4417.91,3948.13,4658.02,5488.2,"Stewart","Stewart"
2007,8587.34,9484.81,10438.84,1542.2,1899.28,2345.19,"Stewart","Stewart"
2008,1570.25,1843.67,2164.34,1327.98,1575.23,1870.71,"Stewart","Stewart"
2009,4407.41,5045.67,5759.53,3503.59,4016.75,4590.27,"Stewart","Stewart"
2010,1718.42,2400.98,3360.14,3167.93,3710.36,4329.91,"Stewart","Stewart"
2011,5723.44,6544.77,7464.4,6128.25,6939.08,7809.3,"Stewart","Stewart"
2012,749.94,1147.5,1746.2,3864.19,4429.76,5060.14,"Stewart","Stewart"
2013,860.35,1128.81,1488.49,4164.07,4788.44,5478.27,"Stewart","Stewart"
2014,1857.1,2187.61,2588.78,4583.49,5199.99,5910.35,"Stewart","Stewart"
2015,4333.83,4933.44,5598.78,2854.76,3294.64,3779.77,"Stewart","Stewart"
2016,4720.85,5516.41,6416.35,1501.48,1783.14,2105.07,"Stewart","Stewart"
2017,2379.7,2854.3,3441.29,769.31,908.43,1068.19,"Stewart","Stewart"
2018,2300.77,2754.52,3295.22,1634.44,1985.24,2493.76,"Stewart","Stewart"
2019,2738.78,3279.51,3928.99,1805.35,2801.19,4712.61,"Stewart","Stewart"
2020,1426.66,1723.21,2066.54,1282.66,2673,5946.88,"Stewart","Stewart"
2021,2328.83,2759.4,3264.08,NA,NA,NA,"Stewart","Stewart"
2022,255.73,430.22,605.4,NA,NA,NA,"Stewart","Stewart"
2023,1392.29,1489.88,1596.6,NA,NA,NA,"Stewart","Stewart"
2024,1676.6,2266.85,3050.61,NA,NA,NA,"Stewart","Stewart"
1985,3567.32,4072.4,4646.55,3178.79,4193.18,5500.91,"UpperYukonR.","UpperYukonR."
1986,2452.62,2875.73,3359.84,21365.52,24871.97,28889.39,"UpperYukonR.","UpperYukonR."
1987,536.69,677.88,859.12,6698.99,8554.28,10924.17,"UpperYukonR.","UpperYukonR."
1988,424.95,609.12,880.97,4067.11,5148.72,6506.26,"UpperYukonR.","UpperYukonR."
1989,311.13,474.29,713.82,9224.62,10811.8,12583.88,"UpperYukonR.","UpperYukonR."
1990,445.46,877.08,1820.17,4691.85,5966.75,7453.23,"UpperYukonR.","UpperYukonR."
1991,1649.19,2258.99,3074.67,14335.5,16388.19,18652.33,"UpperYukonR.","UpperYukonR."
1992,7233.56,8065.01,8967.5,2960.69,3869.36,5026.99,"UpperYukonR.","UpperYukonR."
1993,1599.47,2123.97,2787.84,5034.7,5947.04,7034.05,"UpperYukonR.","UpperYukonR."
1994,886.29,1367.81,2160.13,3243.47,3949.44,4761.04,"UpperYukonR.","UpperYukonR."
1995,2230.23,3169.88,4376.87,3384.81,4285.54,5495.03,"UpperYukonR.","UpperYukonR."
1996,3863.98,4728.71,5759.51,2715.77,3359.09,4151.33,"UpperYukonR.","UpperYukonR."
1997,3945.84,4990.09,6226.42,4490.81,5293.36,6196.08,"UpperYukonR.","UpperYukonR."
1998,1089.13,1869.55,3117.7,8781.18,10104.49,11531.75,"UpperYukonR.","UpperYukonR."
1999,1119.88,1551.96,2139.66,3423.16,4401.04,5690.86,"UpperYukonR.","UpperYukonR."
2000,1473.82,2005.7,2745.56,2232.01,2881.71,3690.89,"UpperYukonR.","UpperYukonR."
2001,1408.84,2508.52,4167.94,3130.42,3848.24,4850.16,"UpperYukonR.","UpperYukonR."
2002,1193.61,1631.23,2219.13,3862.34,4592.18,5469.6,"UpperYukonR.","UpperYukonR."
2003,2757.65,3197.2,3720.14,7000.8,7883.5,8820.66,"UpperYukonR.","UpperYukonR."
2004,4335.29,5017.22,5801.26,2146.15,2630.99,3210.6,"UpperYukonR.","UpperYukonR."
2005,1049.25,1795.16,3104.86,3026.03,3582.87,4300.48,"UpperYukonR.","UpperYukonR."
2006,1086.99,1728.76,2733.78,6783.34,7715.68,8736.55,"UpperYukonR.","UpperYukonR."
2007,793.11,1459.8,2674.22,4901.48,5787.1,6774.42,"UpperYukonR.","UpperYukonR."
2008,5008.45,5258.93,5523.66,3552.33,4147.6,4850.17,"UpperYukonR.","UpperYukonR."
2009,1141.12,1557.04,2108.6,4481.12,5027.76,5641.58,"UpperYukonR.","UpperYukonR."
2010,1294.87,1929.26,2921.88,1912.71,2299.35,2732.31,"UpperYukonR.","UpperYukonR."
2011,1063.66,1411.53,1872.77,5215.39,5896.15,6641.16,"UpperYukonR.","UpperYukonR."
2012,7335.73,7807.25,8295.46,6091.99,6867.17,7709.44,"UpperYukonR.","UpperYukonR."
2013,782.91,1246.65,1971.49,6913.57,7839.29,8851.8,"UpperYukonR.","UpperYukonR."
2014,6222.94,6608.83,6999.03,6709.14,7614.86,8609.5,"UpperYukonR.","UpperYukonR."
2015,2356.06,2844.7,3418.71,3964.64,4498.54,5094.22,"UpperYukonR.","UpperYukonR."
2016,1843.63,2229.7,2701.43,2167.28,2499.35,2846.62,"UpperYukonR.","UpperYukonR."
2017,5247.92,5685.1,6155.04,591.14,757.99,967.11,"UpperYukonR.","UpperYukonR."
2018,3837.81,4383.16,5005.27,1293.72,1695.31,2310.45,"UpperYukonR.","UpperYukonR."
2019,4909.07,5345.77,5812.87,1857.54,2949.76,4998.21,"UpperYukonR.","UpperYukonR."
2020,1725.19,2092.47,2525.63,2083.17,4531.99,10361.66,"UpperYukonR.","UpperYukonR."
2021,3576.62,3792.42,4024.58,NA,NA,NA,"UpperYukonR.","UpperYukonR."
2022,600.25,841.78,1176,NA,NA,NA,"UpperYukonR.","UpperYukonR."
2023,383.43,552.15,796.86,NA,NA,NA,"UpperYukonR.","UpperYukonR."
2024,2051.29,2719.4,3614.91,NA,NA,NA,"UpperYukonR.","UpperYukonR."
1985,1770.72,2299.56,2982.28,4445.75,5505.48,6811.81,"Whiteandtribs.","Whiteandtribs."
1986,4309.6,5251.11,6380.44,14206.77,16564.11,19249.91,"Whiteandtribs.","Whiteandtribs."
