CU_ID,CU_Name,Species,Year,SpnForAbd_Total,SpnForTrend_Total,SpnForAbd_Wild,SpnForTrend_Wild,new spawn data,difference,Recruits_Wild,Recruits_Total,Abd_StartYr,UseYear,Group
CK-71,Nordenskiold,Chinook,1998,2467.356172,2467.356172,2467.356172,2467.356172,2399.01805,-3%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,1999,1696.606909,1696.606909,1696.606909,1696.606909,1903.173097,12%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2000,3391.277808,3391.277808,3391.277808,3391.277808,1570.912677,-54%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2001,7740.144007,7740.144007,7740.144007,7740.144007,718.4851461,-91%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2002,1103.442254,1103.442254,1103.442254,1103.442254,1253.788946,14%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2003,1058.021613,1058.021613,1058.021613,1058.021613,1459.479285,38%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2004,2351.026633,2351.026633,2351.026633,2351.026633,2365.570737,1%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2005,1896.483316,1896.483316,1896.483316,1896.483316,1167.355568,-38%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2006,3905.099636,3905.099636,3905.099636,3905.099636,3848.025136,-1%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2007,1985.735253,1985.735253,1985.735253,1985.735253,1978.499823,0%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2008,3663.377341,3663.377341,3663.377341,3663.377341,671.7106408,-82%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2009,2348.008299,2348.008299,2348.008299,2348.008299,1798.821184,-23%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2010,2259.141871,2259.141871,2259.141871,2259.141871,2301.759751,2%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2011,635.7509205,635.7509205,635.7509205,635.7509205,623.1391246,-2%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2012,978.294671,978.294671,978.294671,978.294671,416.6265227,-57%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2013,2304.25415,2304.25415,2304.25415,2304.25415,1.222319817,-100%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2014,782.9308659,782.9308659,782.9308659,782.9308659,7480.712053,855%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2015,4522.688315,4522.688315,4522.688315,4522.688315,1353.714646,-70%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2016,4861.700173,4861.700173,4861.700173,4861.700173,4867.470386,0%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2017,3367.66102,3367.66102,3367.66102,3367.66102,3442.503292,2%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2018,645.6795698,645.6795698,645.6795698,645.6795698,584.6967783,-9%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2019,1620.432692,1620.432692,1620.432692,1620.432692,3137.90797,94%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2020,1927.247256,1927.247256,1927.247256,1927.247256,302.6602139,-84%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2021,1317.393848,1317.393848,1317.393848,1317.393848,1330.169087,1%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2022,670.0138031,670.0138031,670.0138031,670.0138031,659.8733632,-2%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2023,1532.189647,1532.189647,1532.189647,1532.189647,1524.113296,-1%,NA,NA,1985,TRUE,CK_Yukon
CK-71,Nordenskiold,Chinook,2024,2060.822926,2060.822926,2060.822926,2060.822926,2085.272793,1%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1985,2060.822926,7895.445179,7895.445179,7895.445179,7867.92312,282%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1986,14291.4212,14291.4212,14291.4212,14291.4212,10456.27577,-27%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1987,8535.187672,8535.187672,8535.187672,8535.187672,12177.00381,43%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1988,5169.122627,5169.122627,5169.122627,5169.122627,7143.731663,38%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1989,10881.68915,10881.68915,10881.68915,10881.68915,18035.50328,66%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1990,21531.35451,21531.35451,21531.35451,21531.35451,31697.0116,47%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1991,10113.10477,10113.10477,10113.10477,10113.10477,11576.36174,14%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1992,14049.52468,14049.52468,14049.52468,14049.52468,11259.57311,-20%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1993,5654.581189,5654.581189,5654.581189,5654.581189,8896.5646,57%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1994,6420.797779,6420.797779,6420.797779,6420.797779,10949.93589,71%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1995,8326.512884,8326.512884,8326.512884,8326.512884,8380.339832,1%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1996,7490.181831,7490.181831,7490.181831,7490.181831,10004.15661,34%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1997,9394.671537,9394.671537,9394.671537,9394.671537,9965.291856,6%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1998,6914.893121,6914.893121,6914.893121,6914.893121,4207.008068,-39%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,1999,5166.736123,5166.736123,5166.736123,5166.736123,6644.386349,29%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2000,10539.93962,10539.93962,10539.93962,10539.93962,5171.573539,-51%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2001,11081.06111,11081.06111,11081.06111,11081.06111,10532.51052,-5%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2002,4185.218833,4185.218833,4185.218833,4185.218833,6562.437122,57%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2003,11648.43175,11648.43175,11648.43175,11648.43175,22212.31855,91%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2004,8862.630329,8862.630329,8862.630329,8862.630329,10771.18185,22%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2005,10960.31701,10960.31701,10960.31701,10960.31701,11470.53394,5%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2006,12533.86649,12533.86649,12533.86649,12533.86649,12487.22717,0%,NA,NA,1985,TRUE,CK_Yukon
CK-72,Pelly,Chinook,2007,7685.479136,7685.479136,7685.479136,7685.479136,8766.71639,14%,NA,NA,1985,TRUE,CK_Yukon
